# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
0.00059988    	(-3.955410e-06 -5.137703e-05 7.597300e-06)	(-3.954876e-06 -5.137133e-05 7.596405e-06)	(-5.341167e-10 -5.697884e-09 8.944582e-10)
0.00131991    	(-7.543524e-06 -1.317613e-04 1.200578e-05)	(-7.541971e-06 -1.317384e-04 1.200313e-05)	(-1.552816e-09 -2.290822e-08 2.648751e-09)
0.00218382    	(-1.652158e-06 -5.233207e-05 -5.866454e-08)	(-1.650385e-06 -5.230137e-05 -6.143811e-08)	(-1.773111e-09 -3.070730e-08 2.773572e-09)
0.00322105    	(8.889094e-07 -1.634198e-05 -3.632353e-06)	(8.904155e-07 -1.630858e-05 -3.634591e-06)	(-1.506123e-09 -3.340551e-08 2.237291e-09)
0.00446547    	(-1.120345e-06 -2.636583e-05 1.402923e-07)	(-1.118668e-06 -2.632709e-05 1.378659e-07)	(-1.677018e-09 -3.874824e-08 2.426359e-09)
0.00595802    	(-1.691915e-06 -2.341493e-05 9.402856e-07)	(-1.689848e-06 -2.337072e-05 9.374328e-07)	(-2.066967e-09 -4.420727e-08 2.852823e-09)
0.00774909    	(-1.779009e-06 -1.518153e-05 1.096264e-06)	(-1.776420e-06 -1.513356e-05 1.092869e-06)	(-2.589590e-09 -4.797129e-08 3.395026e-09)
0.00989682    	(-1.574953e-06 -6.164181e-06 7.069437e-07)	(-1.571788e-06 -6.115275e-06 7.030503e-07)	(-3.164473e-09 -4.890531e-08 3.893326e-09)
0.0124752     	(-1.628832e-06 1.428164e-06 8.855103e-07)	(-1.624958e-06 1.474647e-06 8.809271e-07)	(-3.874058e-09 -4.648245e-08 4.583260e-09)
0.0155709     	(-1.547785e-06 9.118512e-06 6.743609e-07)	(-1.543014e-06 9.157948e-06 6.691463e-07)	(-4.771149e-09 -3.943537e-08 5.214605e-09)
0.0192857     	(-1.534383e-06 1.583994e-05 6.493955e-07)	(-1.528600e-06 1.586683e-05 6.434363e-07)	(-5.782799e-09 -2.688967e-08 5.959197e-09)
0.0237435     	(-1.543879e-06 2.089930e-05 6.185930e-07)	(-1.536917e-06 2.090781e-05 6.117692e-07)	(-6.962067e-09 -8.512097e-09 6.823769e-09)
0.0290783     	(-1.125350e-06 2.565905e-05 -3.104184e-07)	(-1.117602e-06 2.564226e-05 -3.176370e-07)	(-7.748825e-09 1.679763e-08 7.218562e-09)
0.0354659     	(-8.130752e-07 2.714220e-05 -9.893509e-07)	(-8.045915e-07 2.709527e-05 -9.966342e-07)	(-8.483735e-09 4.692992e-08 7.283296e-09)
0.0431209     	(-9.711942e-08 2.644530e-05 -2.196387e-06)	(-8.722788e-08 2.636556e-05 -2.204722e-06)	(-9.891538e-09 7.974523e-08 8.335392e-09)
0.0523217     	(1.204056e-07 2.465974e-05 -7.012636e-07)	(1.406840e-07 2.455244e-05 -6.682213e-07)	(-2.027837e-08 1.073012e-07 -3.304228e-08)
0.0633412     	(-4.167402e-07 2.319219e-05 -3.956790e-06)	(-3.543435e-07 2.305050e-05 -3.979920e-06)	(-6.239671e-08 1.416858e-07 2.312964e-08)
0.0765336     	(-9.342985e-07 2.321582e-05 -3.047689e-06)	(-7.839004e-07 2.301523e-05 -3.145581e-06)	(-1.503981e-07 2.005915e-07 9.789152e-08)
0.0909627     	(-6.137813e-07 2.868239e-05 -1.832450e-07)	(-5.677172e-07 2.845426e-05 -1.648578e-07)	(-4.606409e-08 2.281217e-07 -1.838719e-08)
0.101063      	(-1.231657e-06 3.721428e-05 -1.050984e-05)	(-4.297173e-07 3.694988e-05 -1.089469e-05)	(-8.019393e-07 2.644077e-07 3.848533e-07)
0.10294       	(-1.032896e-05 4.566506e-05 -6.662854e-07)	(-9.992187e-06 4.539590e-05 -8.107499e-07)	(-3.367698e-07 2.691622e-07 1.444645e-07)
0.104297      	(-7.445128e-06 5.325142e-05 4.361266e-05)	(-7.235849e-06 5.292411e-05 4.393998e-05)	(-2.092787e-07 3.273006e-07 -3.273146e-07)
0.105841      	(-6.956752e-07 4.888305e-05 -7.512481e-06)	(-3.753315e-07 4.852004e-05 -7.087137e-06)	(-3.203437e-07 3.630085e-07 -4.253439e-07)
0.107605      	(4.887074e-07 4.996506e-05 -3.766589e-05)	(8.837405e-07 4.959701e-05 -3.736992e-05)	(-3.950331e-07 3.680548e-07 -2.959713e-07)
0.109675      	(-4.377018e-06 4.759563e-05 -4.373659e-06)	(-4.110024e-06 4.723469e-05 -4.163487e-06)	(-2.669942e-07 3.609399e-07 -2.101727e-07)
0.112162      	(-4.732731e-06 4.832386e-05 7.916174e-07)	(-4.557455e-06 4.795010e-05 1.018670e-06)	(-1.752762e-07 3.737636e-07 -2.270524e-07)
0.115142      	(-5.350768e-06 5.005205e-05 3.210585e-06)	(-5.251509e-06 4.965804e-05 3.481934e-06)	(-9.925899e-08 3.940188e-07 -2.713491e-07)
0.11871       	(-4.257747e-06 5.313940e-05 1.095480e-06)	(-4.193556e-06 5.272364e-05 1.347366e-06)	(-6.419084e-08 4.157596e-07 -2.518865e-07)
0.122988      	(-3.799005e-06 5.696195e-05 7.467539e-07)	(-3.739376e-06 5.651318e-05 9.770058e-07)	(-5.962916e-08 4.487665e-07 -2.302520e-07)
0.128117      	(-3.263834e-06 6.144562e-05 1.028439e-06)	(-3.199177e-06 6.095639e-05 1.223609e-06)	(-6.465649e-08 4.892261e-07 -1.951702e-07)
0.134257      	(-3.552393e-06 6.815535e-05 -4.286186e-06)	(-3.348520e-06 6.761503e-05 -4.269183e-06)	(-2.038722e-07 5.403225e-07 -1.700346e-08)
0.135988      	(-3.414744e-06 6.725197e-05 -6.104863e-06)	(-3.495622e-06 6.667025e-05 -5.628875e-06)	(8.087751e-08 5.817151e-07 -4.759874e-07)
0.137895      	(-3.395940e-06 7.359952e-05 1.771461e-06)	(-3.391078e-06 7.295926e-05 2.492267e-06)	(-4.862372e-09 6.402632e-07 -7.208054e-07)
0.140024      	(6.985921e-07 7.700955e-05 -2.007313e-05)	(9.068377e-07 7.635241e-05 -1.958549e-05)	(-2.082457e-07 6.571382e-07 -4.876396e-07)
0.1424        	(-2.986223e-06 7.816517e-05 -1.825591e-05)	(-2.698444e-06 7.749222e-05 -1.792323e-05)	(-2.877786e-07 6.729489e-07 -3.326860e-07)
0.145211      	(-4.569827e-06 7.857430e-05 6.627492e-06)	(-4.355313e-06 7.787997e-05 6.941547e-06)	(-2.145148e-07 6.943353e-07 -3.140549e-07)
0.14859       	(-5.244305e-06 8.241682e-05 6.558554e-06)	(-5.171201e-06 8.170132e-05 6.849547e-06)	(-7.310420e-08 7.154947e-07 -2.909931e-07)
0.152569      	(-5.212624e-06 8.675790e-05 7.830712e-06)	(-5.100911e-06 8.597817e-05 8.219589e-06)	(-1.117129e-07 7.797295e-07 -3.888763e-07)
0.157329      	(-5.162260e-06 9.346314e-05 2.820180e-06)	(-5.052383e-06 9.264147e-05 3.041871e-06)	(-1.098766e-07 8.216666e-07 -2.216905e-07)
0.163023      	(-4.792424e-06 1.007313e-04 5.191992e-06)	(-4.692507e-06 9.983421e-05 5.397749e-06)	(-9.991631e-08 8.970666e-07 -2.057576e-07)
0.169828      	(-5.464244e-06 1.090090e-04 3.874337e-06)	(-5.391986e-06 1.080235e-04 4.028968e-06)	(-7.225760e-08 9.854339e-07 -1.546311e-07)
0.177967      	(-5.652322e-06 1.220193e-04 3.778725e-06)	(-5.585329e-06 1.209044e-04 3.949507e-06)	(-6.699336e-08 1.114927e-06 -1.707828e-07)
0.187753      	(-5.850341e-06 1.378360e-04 1.554393e-06)	(-5.763204e-06 1.365447e-04 1.693335e-06)	(-8.713668e-08 1.291288e-06 -1.389416e-07)
0.199356      	(-6.743695e-06 1.575084e-04 4.586993e-06)	(-6.648849e-06 1.560214e-04 4.692859e-06)	(-9.484663e-08 1.487009e-06 -1.058659e-07)
0.21227       	(-6.501272e-06 1.811472e-04 -1.011405e-06)	(-6.333073e-06 1.793753e-04 -1.032216e-06)	(-1.681990e-07 1.771899e-06 2.081158e-08)
0.21912       	(-5.907564e-06 1.868664e-04 5.343532e-06)	(-5.730687e-06 1.849157e-04 5.400316e-06)	(-1.768767e-07 1.950648e-06 -5.678461e-08)
