# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	GAMG	1.000000e+00	9.458430e-02	9	true
2             	GAMG	1.977580e-01	1.379570e-02	4	true
3             	GAMG	2.948390e-01	2.789490e-02	4	true
4             	GAMG	2.822080e-01	2.508860e-02	5	true
5             	GAMG	2.593970e-01	1.854670e-02	6	true
6             	GAMG	2.474510e-01	2.216220e-02	5	true
7             	GAMG	2.439750e-01	1.291490e-02	4	true
8             	GAMG	2.304310e-01	1.954220e-02	3	true
9             	GAMG	2.571060e-01	1.845220e-02	4	true
10            	GAMG	2.450120e-01	2.145790e-02	4	true
11            	GAMG	2.029620e-01	1.999640e-02	4	true
12            	GAMG	1.667870e-01	1.621210e-02	4	true
13            	GAMG	2.015060e-01	1.612810e-02	4	true
14            	GAMG	3.039250e-01	2.904920e-02	3	true
15            	GAMG	3.863100e-01	3.194100e-02	4	true
16            	GAMG	2.420550e-01	1.885410e-02	4	true
17            	GAMG	1.687480e-01	1.412230e-02	4	true
18            	GAMG	1.408810e-01	1.090060e-02	4	true
19            	GAMG	1.291120e-01	7.739420e-03	4	true
20            	GAMG	1.299370e-01	1.114620e-02	3	true
21            	GAMG	1.291670e-01	1.215880e-02	3	true
22            	GAMG	1.273530e-01	1.008410e-02	4	true
23            	GAMG	1.734450e-01	1.357450e-02	4	true
24            	GAMG	2.476930e-01	1.732920e-02	4	true
25            	GAMG	1.841400e-01	1.722250e-02	3	true
26            	GAMG	1.757970e-01	1.445450e-02	3	true
27            	GAMG	1.726160e-01	1.398400e-02	3	true
28            	GAMG	1.682850e-01	1.441090e-02	3	true
29            	GAMG	1.708770e-01	1.558060e-02	3	true
30            	GAMG	2.182830e-01	1.966340e-02	3	true
31            	GAMG	1.316890e-01	1.166540e-02	3	true
32            	GAMG	1.016170e-01	8.779210e-03	3	true
33            	GAMG	8.966900e-02	6.345770e-03	3	true
34            	GAMG	8.302440e-02	5.505420e-03	3	true
35            	GAMG	7.959430e-02	5.184690e-03	3	true
36            	GAMG	7.668910e-02	5.300930e-03	3	true
37            	GAMG	7.659590e-02	5.442790e-03	3	true
38            	GAMG	8.183430e-02	6.155210e-03	3	true
39            	GAMG	8.990670e-02	6.793600e-03	3	true
40            	GAMG	1.021690e-01	7.516510e-03	3	true
41            	GAMG	1.150140e-01	7.816260e-03	3	true
42            	GAMG	1.245150e-01	1.176020e-02	2	true
43            	GAMG	1.267170e-01	1.231700e-02	2	true
