# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
5001          	(2.755014e-04 7.614318e-02 1.473673e-04)	(2.741725e-04 7.570390e-02 1.468781e-04)	(1.328827e-06 4.392849e-04 4.891866e-07)
5002          	(2.699761e-04 1.523729e-01 2.634482e-04)	(2.685536e-04 1.518267e-01 2.632888e-04)	(1.422475e-06 5.461884e-04 1.594276e-07)
5003          	(2.754291e-04 1.666758e-01 3.950161e-04)	(2.732677e-04 1.659717e-01 3.950975e-04)	(2.161366e-06 7.040707e-04 -8.141996e-08)
5004          	(1.836871e-04 1.382290e-01 -6.820511e-07)	(1.811397e-04 1.374407e-01 1.626998e-08)	(2.547412e-06 7.882671e-04 -6.983210e-07)
5005          	(9.662567e-05 8.465040e-02 -6.065808e-04)	(9.466613e-05 8.387502e-02 -6.056862e-04)	(1.959536e-06 7.753787e-04 -8.945991e-07)
5006          	(8.513126e-05 2.873738e-02 -8.588123e-04)	(8.471286e-05 2.809069e-02 -8.572865e-04)	(4.183940e-07 6.466905e-04 -1.525792e-06)
5007          	(1.094244e-04 -1.243514e-02 -7.902670e-04)	(1.088038e-04 -1.290766e-02 -7.879769e-04)	(6.205680e-07 4.725213e-04 -2.290117e-06)
5008          	(1.384057e-04 -3.237590e-02 -7.498607e-04)	(1.389786e-04 -3.267808e-02 -7.445001e-04)	(-5.728802e-07 3.021772e-04 -5.360623e-06)
5009          	(1.777882e-04 -3.162731e-02 -4.360860e-04)	(1.781461e-04 -3.180414e-02 -4.331977e-04)	(-3.578874e-07 1.768245e-04 -2.888352e-06)
5010          	(2.241505e-04 -2.065761e-02 2.428839e-04)	(2.239261e-04 -2.076652e-02 2.452836e-04)	(2.243900e-07 1.089097e-04 -2.399775e-06)
5011          	(2.778116e-04 -2.430091e-03 6.314922e-04)	(2.766081e-04 -2.520149e-03 6.321129e-04)	(1.203475e-06 9.005736e-05 -6.207807e-07)
5012          	(2.835996e-04 1.646449e-02 9.057974e-04)	(2.811950e-04 1.634578e-02 9.046462e-04)	(2.404594e-06 1.187111e-04 1.151206e-06)
5013          	(2.017646e-04 2.993376e-02 8.045825e-04)	(1.983142e-04 2.975721e-02 8.023103e-04)	(3.450392e-06 1.765494e-04 2.272273e-06)
5014          	(1.005676e-04 3.689716e-02 4.241467e-04)	(9.793782e-05 3.666310e-02 4.225422e-04)	(2.629790e-06 2.340583e-04 1.604504e-06)
5015          	(9.306901e-05 3.969494e-02 -2.149452e-06)	(9.072101e-05 3.941477e-02 -3.395592e-06)	(2.348000e-06 2.801758e-04 1.246141e-06)
5016          	(-1.999322e-05 3.620965e-02 -4.247927e-04)	(-2.164448e-05 3.590689e-02 -4.256891e-04)	(1.651260e-06 3.027684e-04 8.963547e-07)
5017          	(-1.011099e-04 3.005508e-02 -6.858505e-04)	(-1.017642e-04 2.975356e-02 -6.859178e-04)	(6.543797e-07 3.015149e-04 6.730409e-08)
5018          	(-1.253888e-04 2.424986e-02 -7.947376e-04)	(-1.248666e-04 2.396223e-02 -7.936761e-04)	(-5.221859e-07 2.876293e-04 -1.061521e-06)
5019          	(-1.050876e-04 2.022037e-02 -7.561898e-04)	(-1.040224e-04 1.995405e-02 -7.544303e-04)	(-1.065222e-06 2.663197e-04 -1.759595e-06)
