# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	GAMG	1.000000e+00	8.742400e-02	12	true
2             	GAMG	4.232680e-01	3.011980e-02	3	true
3             	GAMG	6.091390e-01	4.044410e-02	5	true
4             	GAMG	6.488390e-01	5.654670e-02	5	true
5             	GAMG	4.250800e-01	4.131970e-02	5	true
6             	GAMG	3.607050e-01	2.910920e-02	5	true
7             	GAMG	4.413750e-01	3.689290e-02	3	true
8             	GAMG	4.992050e-01	3.774040e-02	3	true
9             	GAMG	4.944030e-01	4.585320e-02	3	true
10            	GAMG	4.546760e-01	4.204660e-02	4	true
11            	GAMG	3.584980e-01	2.417940e-02	5	true
12            	GAMG	3.470530e-01	3.046870e-02	4	true
13            	GAMG	3.697540e-01	3.495140e-02	3	true
14            	GAMG	3.845630e-01	3.365830e-02	3	true
15            	GAMG	3.608720e-01	3.163410e-02	3	true
16            	GAMG	3.101940e-01	2.720430e-02	3	true
17            	GAMG	2.622480e-01	2.372410e-02	3	true
18            	GAMG	2.423580e-01	2.219330e-02	3	true
19            	GAMG	2.412540e-01	2.212630e-02	3	true
20            	GAMG	2.391870e-01	2.182130e-02	3	true
21            	GAMG	2.348320e-01	2.053940e-02	3	true
22            	GAMG	2.294370e-01	1.969870e-02	3	true
23            	GAMG	2.271900e-01	1.934210e-02	3	true
24            	GAMG	2.355420e-01	1.973010e-02	3	true
25            	GAMG	2.689390e-01	2.238800e-02	3	true
26            	GAMG	2.879170e-01	2.452420e-02	3	true
27            	GAMG	2.458430e-01	2.339970e-02	3	true
28            	GAMG	1.984640e-01	1.596020e-02	3	true
29            	GAMG	1.905910e-01	1.526160e-02	3	true
30            	GAMG	1.852740e-01	1.432100e-02	3	true
31            	GAMG	1.817090e-01	1.355010e-02	3	true
32            	GAMG	1.861610e-01	1.282430e-02	3	true
33            	GAMG	1.944020e-01	1.309670e-02	3	true
34            	GAMG	2.066870e-01	1.428210e-02	3	true
35            	GAMG	2.244810e-01	1.812090e-02	3	true
36            	GAMG	2.492080e-01	1.715420e-02	3	true
37            	GAMG	2.407900e-01	1.638440e-02	3	true
38            	GAMG	2.318650e-01	1.661350e-02	3	true
39            	GAMG	2.016200e-01	1.896190e-02	2	true
40            	GAMG	1.998300e-01	1.899420e-02	2	true
41            	GAMG	1.985190e-01	1.114530e-02	3	true
42            	GAMG	1.962810e-01	1.930230e-02	2	true
43            	GAMG	1.956880e-01	1.274990e-02	3	true
44            	GAMG	1.996960e-01	1.370310e-02	3	true
45            	GAMG	2.125210e-01	1.452680e-02	3	true
46            	GAMG	2.066630e-01	1.365360e-02	3	true
47            	GAMG	1.859340e-01	1.808080e-02	2	true
48            	GAMG	1.838900e-01	1.799600e-02	2	true
49            	GAMG	1.819310e-01	1.804370e-02	2	true
50            	GAMG	1.795850e-01	1.795240e-02	2	true
51            	GAMG	1.769180e-01	1.008450e-02	3	true
52            	GAMG	1.727470e-01	1.633000e-02	2	true
53            	GAMG	1.705480e-01	1.670720e-02	2	true
54            	GAMG	1.685500e-01	1.005300e-02	3	true
55            	GAMG	1.650560e-01	1.033670e-02	3	true
56            	GAMG	1.695470e-01	1.639560e-02	2	true
57            	GAMG	1.680240e-01	1.664310e-02	2	true
58            	GAMG	1.664130e-01	1.119450e-02	3	true
59            	GAMG	1.819530e-01	1.767210e-02	2	true
60            	GAMG	1.809730e-01	1.773610e-02	2	true
61            	GAMG	1.800510e-01	1.796180e-02	2	true
62            	GAMG	1.793590e-01	1.188340e-02	3	true
63            	GAMG	1.600600e-01	1.571200e-02	2	true
64            	GAMG	1.589260e-01	8.557350e-03	3	true
65            	GAMG	1.548050e-01	1.493160e-02	2	true
66            	GAMG	1.537810e-01	1.510210e-02	2	true
67            	GAMG	1.529110e-01	7.784530e-03	3	true
68            	GAMG	1.500080e-01	1.428530e-02	2	true
69            	GAMG	1.496940e-01	1.439260e-02	2	true
70            	GAMG	1.497820e-01	1.471720e-02	2	true
71            	GAMG	1.499390e-01	7.677730e-03	3	true
72            	GAMG	1.489600e-01	1.424300e-02	2	true
73            	GAMG	1.494620e-01	1.442030e-02	2	true
74            	GAMG	1.503500e-01	1.474200e-02	2	true
75            	GAMG	1.514280e-01	8.440230e-03	3	true
76            	GAMG	1.681380e-01	1.593560e-02	2	true
77            	GAMG	1.700830e-01	1.616130e-02	2	true
78            	GAMG	1.711300e-01	1.652540e-02	2	true
79            	GAMG	1.719210e-01	1.689730e-02	2	true
80            	GAMG	1.725770e-01	1.719280e-02	2	true
81            	GAMG	1.730520e-01	8.870750e-03	3	true
82            	GAMG	1.678630e-01	1.573880e-02	2	true
83            	GAMG	1.676150e-01	1.560290e-02	2	true
84            	GAMG	1.676010e-01	1.568780e-02	2	true
85            	GAMG	1.675620e-01	1.588840e-02	2	true
86            	GAMG	1.674450e-01	1.617740e-02	2	true
87            	GAMG	1.676410e-01	1.642700e-02	2	true
88            	GAMG	1.679830e-01	1.666950e-02	2	true
89            	GAMG	1.690320e-01	9.221900e-03	3	true
90            	GAMG	1.565050e-01	1.474910e-02	2	true
91            	GAMG	1.552530e-01	1.460800e-02	2	true
92            	GAMG	1.541340e-01	1.465360e-02	2	true
93            	GAMG	1.528470e-01	1.478340e-02	2	true
94            	GAMG	1.512820e-01	1.491620e-02	2	true
95            	GAMG	1.493640e-01	7.649310e-03	3	true
96            	GAMG	1.380990e-01	1.317080e-02	2	true
97            	GAMG	1.371390e-01	1.311370e-02	2	true
98            	GAMG	1.366090e-01	1.314120e-02	2	true
99            	GAMG	1.365210e-01	1.332790e-02	2	true
100           	GAMG	1.363120e-01	1.342190e-02	2	true
101           	GAMG	1.362890e-01	1.350210e-02	2	true
102           	GAMG	1.360670e-01	1.349280e-02	2	true
103           	GAMG	1.358500e-01	1.344380e-02	2	true
104           	GAMG	1.354860e-01	1.333810e-02	2	true
105           	GAMG	1.351060e-01	1.322450e-02	2	true
106           	GAMG	1.347030e-01	1.311750e-02	2	true
107           	GAMG	1.344470e-01	1.305460e-02	2	true
108           	GAMG	1.341640e-01	1.305440e-02	2	true
109           	GAMG	1.339080e-01	1.308160e-02	2	true
110           	GAMG	1.336800e-01	1.313260e-02	2	true
111           	GAMG	1.334470e-01	1.319450e-02	2	true
112           	GAMG	1.332330e-01	1.328190e-02	2	true
113           	GAMG	1.329610e-01	6.355920e-03	3	true
114           	GAMG	1.304040e-01	1.245740e-02	2	true
115           	GAMG	1.305020e-01	1.252590e-02	2	true
116           	GAMG	1.308880e-01	1.277020e-02	2	true
117           	GAMG	1.312880e-01	1.308530e-02	2	true
118           	GAMG	1.315390e-01	6.301140e-03	3	true
119           	GAMG	1.291100e-01	1.267200e-02	2	true
120           	GAMG	1.293690e-01	1.285870e-02	2	true
121           	GAMG	1.298320e-01	6.272700e-03	3	true
122           	GAMG	1.268170e-01	1.240350e-02	2	true
123           	GAMG	1.274780e-01	1.263980e-02	2	true
124           	GAMG	1.281690e-01	6.207140e-03	3	true
125           	GAMG	1.248740e-01	1.227830e-02	2	true
126           	GAMG	1.256130e-01	6.013580e-03	3	true
127           	GAMG	1.226970e-01	1.194360e-02	2	true
128           	GAMG	1.236450e-01	1.230210e-02	2	true
129           	GAMG	1.246180e-01	5.875560e-03	3	true
130           	GAMG	1.231650e-01	5.717110e-03	3	true
131           	GAMG	1.212660e-01	1.182160e-02	2	true
132           	GAMG	1.221140e-01	5.661880e-03	3	true
133           	GAMG	1.210370e-01	1.207270e-02	2	true
134           	GAMG	1.221390e-01	6.024640e-03	3	true
135           	GAMG	1.197640e-01	5.741510e-03	3	true
136           	GAMG	1.186270e-01	5.593400e-03	3	true
137           	GAMG	1.177080e-01	5.486600e-03	3	true
