# Wall shear stress
# Time        	patch         	min           	max           
20            	cylinder	(-4.317446e-03 -2.137701e-03 -2.682897e-03)	(1.725928e-03 1.979632e-03 2.371781e-03)
40            	cylinder	(-9.863829e-04 -1.705707e-03 -8.762510e-04)	(5.884354e-04 1.734586e-03 4.809152e-04)
60            	cylinder	(-1.028670e-03 -1.696655e-03 -9.210601e-04)	(3.669029e-04 1.751686e-03 4.565029e-04)
80            	cylinder	(-9.553861e-04 -1.808203e-03 -5.521478e-04)	(3.734990e-04 1.790598e-03 5.403197e-04)
100           	cylinder	(-1.001060e-03 -1.756158e-03 -4.134922e-04)	(4.002105e-04 1.722839e-03 7.247334e-04)
120           	cylinder	(-9.493113e-04 -1.684528e-03 -4.036864e-04)	(4.861374e-04 1.674138e-03 8.050550e-04)
140           	cylinder	(-8.843625e-04 -1.713481e-03 -3.815316e-04)	(4.886209e-04 1.678223e-03 8.494750e-04)
160           	cylinder	(-8.530683e-04 -1.634759e-03 -3.721396e-04)	(5.512216e-04 1.566024e-03 7.253352e-04)
180           	cylinder	(-9.073073e-04 -1.528579e-03 -3.749912e-04)	(3.067530e-04 1.471595e-03 5.517727e-04)
200           	cylinder	(-8.639867e-04 -1.491961e-03 -3.857471e-04)	(2.755077e-04 1.417563e-03 5.448058e-04)
220           	cylinder	(-8.170393e-04 -1.464195e-03 -3.678017e-04)	(2.911965e-04 1.434360e-03 5.423004e-04)
240           	cylinder	(-7.977294e-04 -1.498987e-03 -3.741289e-04)	(3.931759e-04 1.440022e-03 5.541424e-04)
260           	cylinder	(-7.947709e-04 -1.509248e-03 -3.784791e-04)	(3.361171e-04 1.449840e-03 5.562156e-04)
280           	cylinder	(-7.896151e-04 -1.505684e-03 -3.756259e-04)	(2.974391e-04 1.455796e-03 5.593207e-04)
300           	cylinder	(-7.836178e-04 -1.477598e-03 -3.807927e-04)	(2.855924e-04 1.453554e-03 5.531335e-04)
320           	cylinder	(-7.721180e-04 -1.432521e-03 -3.855840e-04)	(2.637188e-04 1.439263e-03 5.467400e-04)
340           	cylinder	(-7.527992e-04 -1.391624e-03 -3.835970e-04)	(2.395909e-04 1.431084e-03 5.400379e-04)
360           	cylinder	(-7.490746e-04 -1.375621e-03 -3.770585e-04)	(2.400903e-04 1.427301e-03 5.383000e-04)
380           	cylinder	(-7.576143e-04 -1.366083e-03 -3.742241e-04)	(2.409931e-04 1.423192e-03 5.398594e-04)
400           	cylinder	(-7.548914e-04 -1.368422e-03 -3.734426e-04)	(2.406395e-04 1.411182e-03 5.419407e-04)
420           	cylinder	(-7.469774e-04 -1.374080e-03 -3.740659e-04)	(2.382054e-04 1.399580e-03 5.444791e-04)
440           	cylinder	(-7.462277e-04 -1.379037e-03 -3.750321e-04)	(2.364497e-04 1.395587e-03 5.462654e-04)
460           	cylinder	(-7.427778e-04 -1.385977e-03 -3.764310e-04)	(2.358030e-04 1.396804e-03 5.461279e-04)
480           	cylinder	(-7.381042e-04 -1.387471e-03 -3.769090e-04)	(2.361306e-04 1.401749e-03 5.455574e-04)
500           	cylinder	(-7.333308e-04 -1.387722e-03 -3.766815e-04)	(2.375485e-04 1.401714e-03 5.429183e-04)
520           	cylinder	(-7.255373e-04 -1.385805e-03 -3.771744e-04)	(2.369126e-04 1.395185e-03 5.429384e-04)
540           	cylinder	(-7.189213e-04 -1.383960e-03 -3.762513e-04)	(2.360280e-04 1.394732e-03 5.431465e-04)
560           	cylinder	(-7.161887e-04 -1.382907e-03 -3.750904e-04)	(2.357391e-04 1.399274e-03 5.426436e-04)
580           	cylinder	(-7.143787e-04 -1.384362e-03 -3.738070e-04)	(2.365011e-04 1.395499e-03 5.428050e-04)
600           	cylinder	(-7.139448e-04 -1.382826e-03 -3.732970e-04)	(2.356594e-04 1.389869e-03 5.433537e-04)
620           	cylinder	(-7.148593e-04 -1.372781e-03 -3.731197e-04)	(2.346116e-04 1.391558e-03 5.434469e-04)
640           	cylinder	(-7.151691e-04 -1.360357e-03 -3.734600e-04)	(2.350793e-04 1.392632e-03 5.426725e-04)
660           	cylinder	(-7.242139e-04 -1.354968e-03 -3.743088e-04)	(2.360852e-04 1.393553e-03 5.420161e-04)
680           	cylinder	(-7.377091e-04 -1.355569e-03 -3.752585e-04)	(2.367968e-04 1.396777e-03 5.417056e-04)
700           	cylinder	(-7.276849e-04 -1.356665e-03 -3.759975e-04)	(2.374720e-04 1.398986e-03 5.412341e-04)
720           	cylinder	(-7.203382e-04 -1.358582e-03 -3.764686e-04)	(2.377280e-04 1.398933e-03 5.404623e-04)
740           	cylinder	(-7.191278e-04 -1.361918e-03 -3.765449e-04)	(2.375626e-04 1.397615e-03 5.412182e-04)
760           	cylinder	(-7.183630e-04 -1.365711e-03 -3.762348e-04)	(2.374392e-04 1.397429e-03 5.406668e-04)
780           	cylinder	(-7.177491e-04 -1.368779e-03 -3.762017e-04)	(2.375096e-04 1.397055e-03 5.410537e-04)
800           	cylinder	(-7.165543e-04 -1.371499e-03 -3.763482e-04)	(2.373452e-04 1.395007e-03 5.418978e-04)
820           	cylinder	(-7.156225e-04 -1.374560e-03 -3.761393e-04)	(2.369577e-04 1.391813e-03 5.431548e-04)
840           	cylinder	(-7.141030e-04 -1.377761e-03 -3.755147e-04)	(2.363436e-04 1.387863e-03 5.437688e-04)
860           	cylinder	(-7.110721e-04 -1.380909e-03 -3.746050e-04)	(2.356135e-04 1.383562e-03 5.432120e-04)
